Distance_(pixels),Gray_Value
851,12.5224
852,11.7354
853,10.7267
854,10.0000
855,9.8623
856,8.7669
857,7.9673
858,7.8649
859,7.7064
860,7.8372
861,8.2625
862,7.8910
863,6.9966
864,6.3313
865,5.6667
866,5.8428
867,6.4645
868,6.3333
869,6.3333
870,5.8924
871,4.8972
872,4.6687
873,4.7211
874,4.6667
875,4.6667
876,4.6667
877,4.6682
878,4.4272
879,4.3333
880,4.2879
881,3.9304
882,3.9119
883,4.5865
884,4.8262
885,4.3333
886,4.3333
887,4.3333
888,4.3333
889,4.6512
890,4.2139
891,4.0000
892,4.0000
893,4.0000
894,4.0000
895,4.0000
896,4.0000
897,4.1032
898,4.9885
899,5.2898
900,5.3333
901,5.3223
902,5.3333
903,5.3333
904,5.5460
905,5.6667
906,5.1275
907,4.6667
908,4.6667
909,4.7781
910,5.5898
911,5.6667
912,5.8920
913,6.2045
914,5.6667
915,5.7896
916,6.5831
917,7.1284
918,6.9709
919,7.4451
920,7.6667
921,8.5684
922,9.0655
923,9.5319
924,10.1592
925,11.1183
926,12.0338
927,12.3468
928,13.4627
929,14.3067
930,14.0410
931,14.7671
932,15.7163
933,16.3740
934,17.5998
935,18.9665
936,20.4800
937,21.8934
938,22.9715
939,23.6837
940,24.6141
941,26.1001
942,27.8110
943,27.3709
944,27.2364
945,26.8134
946,27.2440
947,27.3965
948,28.3788
949,28.9824
950,28.3333
951,28.3333
952,27.7188
953,27.3333
954,27.4826
955,27.6667
956,27.6667
957,26.7187
958,26.2616
959,27.3488
960,28.0288
961,27.9567
962,29.4949
963,30.4767
964,31.1320
965,33.3730
966,35.0779
967,36.7564
968,39.0371
969,40.3115
970,42.2089
971,43.4967
972,43.8548
973,44.6072
974,45.2696
975,45.5883
976,45.6112
977,44.8612
978,44.6667
979,44.8999
980,43.2142
981,42.5865
982,41.7097
983,39.3190
984,37.1296
985,35.9859
986,34.3228
987,31.9142
988,29.9194
989,27.9775
990,26.8017
991,26.6152
992,26.6767
993,26.6481
994,25.5817
995,25.6224
996,26.0937
997,26.6099
998,26.6667
999,26.5174
1000,26.7493
1001,27.0054
1002,27.4522
1003,28.0351
1004,27.5370
1005,26.9150
1006,27.0860
1007,27.0276
1008,26.4644
1009,25.3939
1010,24.2199
1011,22.4019
1012,20.9752
1013,20.0004
1014,18.8244
1015,17.9667
1016,16.2325
1017,14.4824
1018,13.5476
1019,12.9248
1020,11.4845
1021,10.1686
1022,9.7146
1023,8.6771
1024,8.9571
1025,8.1042
1026,7.0393
1027,6.9811
1028,7.1281
1029,7.9166
1030,7.1719
1031,6.9424
1032,6.8029
1033,6.9393
1034,7.6633
1035,6.5310
1036,5.6456
1037,5.6667
1038,5.6667
1039,5.5278
1040,4.4782
1041,3.7855
1042,3.9944
1043,4.3333
1044,4.9779
1045,4.8676
1046,4.8991
1047,4.9569
1048,4.3792
1049,4.5680
1050,4.9770
1051,3.6835
1052,3.3333
1053,3.8076
1054,4.4781
1055,4.7762
1056,4.3333
1057,4.3612
1058,4.3333
1059,4.1771
1060,4.7199
1061,5.4268
1062,6.1338
1063,6.5025
1064,6.4523
1065,5.7016
1066,5.5688
1067,6.0020
1068,6.0170
1069,6.4159
1070,6.6667
1071,6.6667
1072,6.8362
1073,6.9740
1074,7.9056
1075,7.9944
1076,8.1645
1077,8.6033
1078,8.9254
1079,8.7763
1080,9.6243
1081,10.3201
1082,10.6069
1083,11.5279
1084,12.2354
1085,13.4892
1086,15.4045
1087,15.6815
1088,15.7310
1089,17.1545
1090,19.5308
1091,22.3931
1092,23.6624
1093,23.5851
1094,23.7129
1095,24.6137
1096,26.6799
1097,28.2110
1098,28.5829
1099,28.3387
1100,28.5551
1101,28.6573
1102,28.4145
1103,28.6817
1104,28.9034
1105,28.3711
1106,28.3333
1107,28.3190
1108,28.3352
1109,27.6579
1110,27.6667
1111,27.7816
1112,29.1273
1113,30.0270
1114,31.0046
1115,32.4362
1116,34.3881
1117,36.1614
1118,38.2146
1119,39.6417
1120,42.2960
1121,44.5281
1122,45.7659
1123,45.8889
1124,46.1217
1125,46.2168
1126,45.9250
1127,44.6980
1128,43.4955
1129,43.3077
1130,41.2972
1131,38.4927
1132,36.6153
1133,34.7726
1134,34.1676
1135,32.3241
1136,30.5162
1137,29.5588
1138,27.7203
1139,26.3615
1140,26.3333
1141,26.5537
1142,26.8807
1143,26.6667
1144,26.5500
1145,26.5700
1146,27.5595
1147,27.6049
1148,27.5532
1149,27.8712
1150,28.3196
1151,27.2065
1152,26.1871
1153,25.0301
1154,24.7826
1155,24.3153
1156,23.3867
1157,21.7236
1158,19.5106
1159,18.3412
1160,16.3574
1161,14.6612
1162,13.2420
1163,12.1023
1164,10.8989
1165,10.0484
1166,9.5386
1167,8.5973
1168,8.3333
1169,8.1372
1170,7.5636
1171,6.7286
1172,6.4276
1173,6.0166
1174,6.0000
1175,6.4129
1176,5.6667
1177,5.6667
1178,5.6667
1179,5.1509
1180,4.6667
1181,4.7112
1182,4.7904
1183,4.3823
1184,4.8881
1185,5.0391
1186,5.4249
1187,5.1618
1188,4.3836
1189,3.6261
1190,3.6258
1191,4.3327
1192,4.3333
1193,4.3333
1194,4.2531
1195,3.9305
1196,4.7808
1197,6.0345
1198,5.6886
1199,5.5517
1200,6.0778
1201,6.6667
1202,6.2849
1203,4.7585
1204,3.9367
1205,4.4994
1206,5.4431
1207,6.6964
1208,7.3908
1209,6.9677
1210,7.0000
1211,7.0000
1212,7.3492
1213,7.9925
1214,8.9770
1215,9.0000
1216,9.2625
1217,10.0513
1218,11.8130
1219,12.1735
1220,12.6295
1221,12.9526
1222,14.7268
1223,17.0195
1224,18.8176
1225,20.9432
1226,21.1755
1227,21.9163
1228,22.8239
1229,23.6118
1230,24.7055
1231,25.8865
1232,26.5954
1233,26.6078
1234,26.8524
1235,26.5103
1236,26.6043
1237,26.8011
1238,26.6851
1239,26.6667
1240,26.9098
1241,27.6667
1242,27.7032
1243,27.7999
1244,28.5221
1245,29.6165
1246,31.2210
1247,32.3869
1248,33.6112
1249,34.3399
1250,35.9939
1251,37.3189
1252,38.3551
1253,39.4547
1254,40.0875
1255,41.4801
1256,42.2377
1257,40.9327
1258,39.6554
1259,40.0385
1260,40.5102
1261,39.8323
1262,36.8255
1263,34.1698
1264,32.4754
1265,31.6765
1266,31.2546
